cline,p,att,rep,group,Exp,dose,ncells,scene,ncolonies,pe,token,group_id
GBM1a,14,1,r01,FBS,r05,4,400,34,10,0.025,GBM1a_FBS_4,2
GBM1a,14,1,r01,FBS,r06,4,400,47,8,0.02,GBM1a_FBS_4,2
GBM1a,14,1,r01,FBS,r01,6,600,2,1,0.001666667,GBM1a_FBS_6,2
GBM1a,14,1,r01,FBS,r02,6,600,15,0,0,GBM1a_FBS_6,2
GBM1a,14,1,r01,FBS,r03,6,600,18,1,0.001666667,GBM1a_FBS_6,2
GBM1a,14,1,r01,FBS,r04,6,600,31,1,0.001666667,GBM1a_FBS_6,2
GBM1a,14,1,r01,FBS,r05,6,600,34,1,0.001666667,GBM1a_FBS_6,2
GBM1a,14,1,r01,FBS,r06,6,600,47,3,0.005,GBM1a_FBS_6,2
GBM1a,14,1,r01,FBS,r01,8,800,2,0,0,GBM1a_FBS_8,2
GBM1a,14,1,r01,FBS,r02,8,800,15,0,0,GBM1a_FBS_8,2
GBM1a,14,1,r01,FBS,r03,8,800,18,0,0,GBM1a_FBS_8,2
GBM1a,14,1,r01,FBS,r04,8,800,31,0,0,GBM1a_FBS_8,2
GBM1a,14,1,r01,FBS,r05,8,800,34,0,0,GBM1a_FBS_8,2
GBM1a,14,1,r01,FBS,r06,8,800,47,0,0,GBM1a_FBS_8,2
GBM1a,14,1,r01,FBS,r01,10,1000,2,0,0,GBM1a_FBS_10,2
GBM1a,14,1,r01,FBS,r02,10,1000,15,0,0,GBM1a_FBS_10,2
GBM1a,14,1,r01,FBS,r03,10,1000,18,0,0,GBM1a_FBS_10,2
GBM1a,14,1,r01,FBS,r04,10,1000,31,0,0,GBM1a_FBS_10,2
GBM1a,14,1,r01,FBS,r05,10,1000,34,0,0,GBM1a_FBS_10,2
GBM1a,14,1,r01,FBS,r06,10,1000,47,0,0,GBM1a_FBS_10,2
GBM1a,14,1,r01,E20,r01,0,200,3,65,0.325,GBM1a_E20_0,3
GBM1a,14,1,r01,E20,r02,0,200,14,49,0.245,GBM1a_E20_0,3
GBM1a,14,1,r01,E20,r03,0,200,19,54,0.27,GBM1a_E20_0,3
GBM1a,14,1,r01,E20,r04,0,200,30,56,0.28,GBM1a_E20_0,3
GBM1a,14,1,r01,E20,r05,0,200,35,60,0.3,GBM1a_E20_0,3
GBM1a,14,1,r01,E20,r06,0,200,46,54,0.27,GBM1a_E20_0,3
GBM1a,14,1,r01,E20,r01,2,200,3,5,0.025,GBM1a_E20_2,3
GBM1a,14,1,r01,E20,r02,2,200,14,3,0.015,GBM1a_E20_2,3
GBM1a,14,1,r01,E20,r03,2,200,19,3,0.015,GBM1a_E20_2,3
GBM1a,14,1,r01,E20,r04,2,200,30,13,0.065,GBM1a_E20_2,3
GBM1a,14,1,r01,E20,r05,2,200,35,13,0.065,GBM1a_E20_2,3
GBM1a,14,1,r01,E20,r06,2,200,46,21,0.105,GBM1a_E20_2,3
GBM1a,14,1,r01,E20,r01,4,400,3,3,0.0075,GBM1a_E20_4,3
GBM1a,14,1,r01,E20,r02,4,400,14,8,0.02,GBM1a_E20_4,3
GBM1a,14,1,r01,E20,r03,4,400,19,5,0.0125,GBM1a_E20_4,3
GBM1a,14,1,r01,E20,r04,4,400,30,7,0.0175,GBM1a_E20_4,3
GBM1a,14,1,r01,E20,r05,4,400,35,7,0.0175,GBM1a_E20_4,3
GBM1a,14,1,r01,E20,r06,4,400,46,8,0.02,GBM1a_E20_4,3
GBM1a,14,1,r01,E20,r01,6,600,3,2,0.003333333,GBM1a_E20_6,3
GBM1a,14,1,r01,E20,r02,6,600,14,0,0,GBM1a_E20_6,3
GBM1a,14,1,r01,E20,r03,6,600,19,0,0,GBM1a_E20_6,3
GBM1a,14,1,r01,E20,r04,6,600,30,0,0,GBM1a_E20_6,3
GBM1a,14,1,r01,E20,r05,6,600,35,2,0.003333333,GBM1a_E20_6,3
GBM1a,14,1,r01,E20,r06,6,600,46,3,0.005,GBM1a_E20_6,3
GBM1a,14,1,r01,E20,r01,8,800,3,0,0,GBM1a_E20_8,3
GBM1a,14,1,r01,E20,r02,8,800,14,0,0,GBM1a_E20_8,3
GBM1a,14,1,r01,E20,r03,8,800,19,0,0,GBM1a_E20_8,3
GBM1a,14,1,r01,E20,r04,8,800,30,0,0,GBM1a_E20_8,3
GBM1a,14,1,r01,E20,r05,8,800,35,0,0,GBM1a_E20_8,3
GBM1a,14,1,r01,E20,r06,8,800,46,0,0,GBM1a_E20_8,3
GBM1a,14,1,r01,E20,r01,10,1000,3,0,0,GBM1a_E20_10,3
GBM1a,14,1,r01,E20,r02,10,1000,14,0,0,GBM1a_E20_10,3
GBM1a,14,1,r01,E20,r03,10,1000,19,0,0,GBM1a_E20_10,3
GBM1a,14,1,r01,E20,r04,10,1000,30,0,0,GBM1a_E20_10,3
GBM1a,14,1,r01,E20,r05,10,1000,35,0,0,GBM1a_E20_10,3
GBM1a,14,1,r01,E20,r06,10,1000,46,0,0,GBM1a_E20_10,3
GBM1a,14,1,r01,E100,r01,0,200,4,51,0.255,GBM1a_E100_0,4
GBM1a,14,1,r01,E100,r02,0,200,13,54,0.27,GBM1a_E100_0,4
GBM1a,14,1,r01,E100,r03,0,200,20,60,0.3,GBM1a_E100_0,4
GBM1a,14,1,r01,E100,r04,0,200,29,67,0.335,GBM1a_E100_0,4
GBM1a,14,1,r01,E100,r05,0,200,36,54,0.27,GBM1a_E100_0,4
GBM1a,14,1,r01,E100,r06,0,200,45,59,0.295,GBM1a_E100_0,4
GBM1a,14,1,r01,E100,r01,2,200,4,2,0.01,GBM1a_E100_2,4
GBM1a,14,1,r01,E100,r02,2,200,13,4,0.02,GBM1a_E100_2,4
GBM1a,14,1,r01,E100,r03,2,200,20,1,0.005,GBM1a_E100_2,4
GBM1a,14,1,r01,E100,r04,2,200,29,12,0.06,GBM1a_E100_2,4
GBM1a,14,1,r01,E100,r05,2,200,36,10,0.05,GBM1a_E100_2,4
GBM1a,14,1,r01,E100,r06,2,200,45,16,0.08,GBM1a_E100_2,4
GBM1a,14,1,r01,E100,r01,4,400,4,6,0.015,GBM1a_E100_4,4
GBM1a,14,1,r01,E100,r02,4,400,13,10,0.025,GBM1a_E100_4,4
GBM1a,14,1,r01,E100,r03,4,400,20,8,0.02,GBM1a_E100_4,4
GBM1a,14,1,r01,E100,r04,4,400,29,8,0.02,GBM1a_E100_4,4
GBM1a,14,1,r01,E100,r05,4,400,36,7,0.0175,GBM1a_E100_4,4
GBM1a,14,1,r01,E100,r06,4,400,45,5,0.0125,GBM1a_E100_4,4
GBM1a,14,1,r01,E100,r01,6,600,4,1,0.001666667,GBM1a_E100_6,4
GBM1a,14,1,r01,E100,r02,6,600,13,0,0,GBM1a_E100_6,4
GBM1a,14,1,r01,E100,r03,6,600,20,2,0.003333333,GBM1a_E100_6,4
GBM1a,14,1,r01,E100,r04,6,600,29,0,0,GBM1a_E100_6,4
GBM1a,14,1,r01,E100,r05,6,600,36,0,0,GBM1a_E100_6,4
GBM1a,14,1,r01,E100,r06,6,600,45,1,0.001666667,GBM1a_E100_6,4
GBM1a,14,1,r01,E100,r01,8,800,4,0,0,GBM1a_E100_8,4
GBM1a,14,1,r01,E100,r02,8,800,13,0,0,GBM1a_E100_8,4
GBM1a,14,1,r01,E100,r03,8,800,20,0,0,GBM1a_E100_8,4
GBM1a,14,1,r01,E100,r04,8,800,29,0,0,GBM1a_E100_8,4
GBM1a,14,1,r01,E100,r05,8,800,36,0,0,GBM1a_E100_8,4
GBM1a,14,1,r01,E100,r06,8,800,45,0,0,GBM1a_E100_8,4
GBM1a,14,1,r01,E100,r01,10,1000,4,0,0,GBM1a_E100_10,4
GBM1a,14,1,r01,E100,r02,10,1000,13,0,0,GBM1a_E100_10,4
GBM1a,14,1,r01,E100,r03,10,1000,20,0,0,GBM1a_E100_10,4
GBM1a,14,1,r01,E100,r04,10,1000,29,0,0,GBM1a_E100_10,4
GBM1a,14,1,r01,E100,r05,10,1000,36,0,0,GBM1a_E100_10,4
GBM1a,14,1,r01,E100,r06,10,1000,45,0,0,GBM1a_E100_10,4
GBM1a,14,1,r01,B20,r01,0,200,5,26,0.13,GBM1a_B20_0,5
GBM1a,14,1,r01,B20,r02,0,200,12,56,0.28,GBM1a_B20_0,5
GBM1a,14,1,r01,B20,r03,0,200,21,49,0.245,GBM1a_B20_0,5
GBM1a,14,1,r01,B20,r04,0,200,28,53,0.265,GBM1a_B20_0,5
GBM1a,14,1,r01,B20,r05,0,200,37,58,0.29,GBM1a_B20_0,5
GBM1a,14,1,r01,B20,r06,0,200,44,56,0.28,GBM1a_B20_0,5
GBM1a,14,1,r01,B20,r01,2,200,5,8,0.04,GBM1a_B20_2,5
GBM1a,14,1,r01,B20,r02,2,200,12,10,0.05,GBM1a_B20_2,5
GBM1a,14,1,r01,B20,r03,2,200,21,23,0.115,GBM1a_B20_2,5
GBM1a,14,1,r01,B20,r04,2,200,28,14,0.07,GBM1a_B20_2,5
GBM1a,14,1,r01,B20,r05,2,200,37,14,0.07,GBM1a_B20_2,5
GBM1a,14,1,r01,B20,r06,2,200,44,13,0.065,GBM1a_B20_2,5
GBM1a,14,1,r01,B20,r01,4,400,5,6,0.015,GBM1a_B20_4,5
GBM1a,14,1,r01,B20,r02,4,400,12,5,0.0125,GBM1a_B20_4,5
GBM1a,14,1,r01,B20,r03,4,400,21,9,0.0225,GBM1a_B20_4,5
GBM1a,14,1,r01,B20,r04,4,400,28,10,0.025,GBM1a_B20_4,5
GBM1a,14,1,r01,B20,r05,4,400,37,8,0.02,GBM1a_B20_4,5
GBM1a,14,1,r01,B20,r06,4,400,44,8,0.02,GBM1a_B20_4,5
GBM1a,14,1,r01,B20,r01,6,600,5,3,0.005,GBM1a_B20_6,5
GBM1a,14,1,r01,B20,r02,6,600,12,1,0.001666667,GBM1a_B20_6,5
GBM1a,14,1,r01,B20,r03,6,600,21,0,0,GBM1a_B20_6,5
GBM1a,14,1,r01,B20,r04,6,600,28,0,0,GBM1a_B20_6,5
GBM1a,14,1,r01,B20,r05,6,600,37,0,0,GBM1a_B20_6,5
GBM1a,14,1,r01,B20,r06,6,600,44,0,0,GBM1a_B20_6,5
GBM1a,14,1,r01,B20,r01,8,800,5,0,0,GBM1a_B20_8,5
GBM1a,14,1,r01,B20,r02,8,800,12,0,0,GBM1a_B20_8,5
GBM1a,14,1,r01,B20,r03,8,800,21,0,0,GBM1a_B20_8,5
GBM1a,14,1,r01,B20,r04,8,800,28,0,0,GBM1a_B20_8,5
GBM1a,14,1,r01,B20,r05,8,800,37,0,0,GBM1a_B20_8,5
GBM1a,14,1,r01,B20,r06,8,800,44,0,0,GBM1a_B20_8,5
GBM1a,14,1,r01,B20,r01,10,1000,5,0,0,GBM1a_B20_10,5
GBM1a,14,1,r01,B20,r02,10,1000,12,0,0,GBM1a_B20_10,5
GBM1a,14,1,r01,B20,r03,10,1000,21,0,0,GBM1a_B20_10,5
GBM1a,14,1,r01,B20,r04,10,1000,28,0,0,GBM1a_B20_10,5
GBM1a,14,1,r01,B20,r05,10,1000,37,0,0,GBM1a_B20_10,5
GBM1a,14,1,r01,B20,r06,10,1000,44,0,0,GBM1a_B20_10,5
GBM1a,14,1,r01,B100,r01,0,200,6,61,0.305,GBM1a_B100_0,6
GBM1a,14,1,r01,B100,r02,0,200,11,59,0.295,GBM1a_B100_0,6
GBM1a,14,1,r01,B100,r03,0,200,22,62,0.31,GBM1a_B100_0,6
GBM1a,14,1,r01,B100,r04,0,200,27,71,0.355,GBM1a_B100_0,6
GBM1a,14,1,r01,B100,r05,0,200,38,73,0.365,GBM1a_B100_0,6
GBM1a,14,1,r01,B100,r06,0,200,43,59,0.295,GBM1a_B100_0,6
GBM1a,14,1,r01,B100,r01,2,200,6,7,0.035,GBM1a_B100_2,6
GBM1a,14,1,r01,B100,r02,2,200,11,15,0.075,GBM1a_B100_2,6
GBM1a,14,1,r01,B100,r03,2,200,22,23,0.115,GBM1a_B100_2,6
GBM1a,14,1,r01,B100,r04,2,200,27,20,0.1,GBM1a_B100_2,6
GBM1a,14,1,r01,B100,r05,2,200,38,9,0.045,GBM1a_B100_2,6
GBM1a,14,1,r01,B100,r06,2,200,43,16,0.08,GBM1a_B100_2,6
GBM1a,14,1,r01,B100,r01,4,400,6,2,0.005,GBM1a_B100_4,6
GBM1a,14,1,r01,B100,r02,4,400,11,6,0.015,GBM1a_B100_4,6
GBM1a,14,1,r01,B100,r03,4,400,22,10,0.025,GBM1a_B100_4,6
GBM1a,14,1,r01,B100,r04,4,400,27,6,0.015,GBM1a_B100_4,6
GBM1a,14,1,r01,B100,r05,4,400,38,10,0.025,GBM1a_B100_4,6
GBM1a,14,1,r01,B100,r06,4,400,43,2,0.005,GBM1a_B100_4,6
GBM1a,14,1,r01,B100,r01,6,600,6,0,0,GBM1a_B100_6,6
GBM1a,14,1,r01,B100,r02,6,600,11,0,0,GBM1a_B100_6,6
GBM1a,14,1,r01,B100,r03,6,600,22,1,0.001666667,GBM1a_B100_6,6
GBM1a,14,1,r01,B100,r04,6,600,27,0,0,GBM1a_B100_6,6
GBM1a,14,1,r01,B100,r05,6,600,38,1,0.001666667,GBM1a_B100_6,6
GBM1a,14,1,r01,B100,r06,6,600,43,2,0.003333333,GBM1a_B100_6,6
GBM1a,14,1,r01,B100,r01,8,800,6,0,0,GBM1a_B100_8,6
GBM1a,14,1,r01,B100,r02,8,800,11,0,0,GBM1a_B100_8,6
GBM1a,14,1,r01,B100,r03,8,800,22,0,0,GBM1a_B100_8,6
GBM1a,14,1,r01,B100,r04,8,800,27,0,0,GBM1a_B100_8,6
GBM1a,14,1,r01,B100,r05,8,800,38,0,0,GBM1a_B100_8,6
GBM1a,14,1,r01,B100,r06,8,800,43,0,0,GBM1a_B100_8,6
GBM1a,14,1,r01,B100,r01,10,1000,6,1,0.001,GBM1a_B100_10,6
GBM1a,14,1,r01,B100,r02,10,1000,11,0,0,GBM1a_B100_10,6
GBM1a,14,1,r01,B100,r03,10,1000,22,0,0,GBM1a_B100_10,6
GBM1a,14,1,r01,B100,r04,10,1000,27,0,0,GBM1a_B100_10,6
GBM1a,14,1,r01,B100,r05,10,1000,38,0,0,GBM1a_B100_10,6
GBM1a,14,1,r01,B100,r06,10,1000,43,0,0,GBM1a_B100_10,6
GBM1a,14,1,r01,S20,r01,0,200,7,57,0.285,GBM1a_S20_0,7
GBM1a,14,1,r01,S20,r02,0,200,10,73,0.365,GBM1a_S20_0,7
GBM1a,14,1,r01,S20,r03,0,200,23,69,0.345,GBM1a_S20_0,7
GBM1a,14,1,r01,S20,r04,0,200,26,70,0.35,GBM1a_S20_0,7
GBM1a,14,1,r01,S20,r05,0,200,39,64,0.32,GBM1a_S20_0,7
GBM1a,14,1,r01,S20,r06,0,200,42,74,0.37,GBM1a_S20_0,7
GBM1a,14,1,r01,S20,r01,2,200,7,11,0.055,GBM1a_S20_2,7
GBM1a,14,1,r01,S20,r02,2,200,10,10,0.05,GBM1a_S20_2,7
GBM1a,14,1,r01,S20,r03,2,200,23,24,0.12,GBM1a_S20_2,7
GBM1a,14,1,r01,S20,r04,2,200,26,12,0.06,GBM1a_S20_2,7
GBM1a,14,1,r01,S20,r05,2,200,39,20,0.1,GBM1a_S20_2,7
GBM1a,14,1,r01,S20,r06,2,200,42,20,0.1,GBM1a_S20_2,7
GBM1a,14,1,r01,S20,r01,4,400,7,10,0.025,GBM1a_S20_4,7
GBM1a,14,1,r01,S20,r02,4,400,10,14,0.035,GBM1a_S20_4,7
GBM1a,14,1,r01,S20,r03,4,400,23,11,0.0275,GBM1a_S20_4,7
GBM1a,14,1,r01,S20,r04,4,400,26,11,0.0275,GBM1a_S20_4,7
GBM1a,14,1,r01,S20,r05,4,400,39,13,0.0325,GBM1a_S20_4,7
GBM1a,14,1,r01,S20,r06,4,400,42,11,0.0275,GBM1a_S20_4,7
GBM1a,14,1,r01,S20,r01,6,600,7,0,0,GBM1a_S20_6,7
GBM1a,14,1,r01,S20,r02,6,600,10,1,0.001666667,GBM1a_S20_6,7
GBM1a,14,1,r01,S20,r03,6,600,23,2,0.003333333,GBM1a_S20_6,7
GBM1a,14,1,r01,S20,r04,6,600,26,0,0,GBM1a_S20_6,7
GBM1a,14,1,r01,S20,r05,6,600,39,2,0.003333333,GBM1a_S20_6,7
GBM1a,14,1,r01,S20,r06,6,600,42,2,0.003333333,GBM1a_S20_6,7
GBM1a,14,1,r01,S20,r01,8,800,7,0,0,GBM1a_S20_8,7
GBM1a,14,1,r01,S20,r02,8,800,10,1,0.00125,GBM1a_S20_8,7
GBM1a,14,1,r01,S20,r03,8,800,23,0,0,GBM1a_S20_8,7
GBM1a,14,1,r01,S20,r04,8,800,26,0,0,GBM1a_S20_8,7
GBM1a,14,1,r01,S20,r05,8,800,39,0,0,GBM1a_S20_8,7
GBM1a,14,1,r01,S20,r06,8,800,42,0,0,GBM1a_S20_8,7
GBM1a,14,1,r01,S20,r01,10,1000,7,0,0,GBM1a_S20_10,7
GBM1a,14,1,r01,S20,r02,10,1000,10,0,0,GBM1a_S20_10,7
GBM1a,14,1,r01,S20,r03,10,1000,23,0,0,GBM1a_S20_10,7
GBM1a,14,1,r01,S20,r04,10,1000,26,0,0,GBM1a_S20_10,7
GBM1a,14,1,r01,S20,r05,10,1000,39,0,0,GBM1a_S20_10,7
GBM1a,14,1,r01,S20,r06,10,1000,42,0,0,GBM1a_S20_10,7
GBM1a,14,1,r01,S100,r01,0,200,8,57,0.285,GBM1a_S100_0,8
GBM1a,14,1,r01,S100,r02,0,200,9,86,0.43,GBM1a_S100_0,8
GBM1a,14,1,r01,S100,r03,0,200,24,71,0.355,GBM1a_S100_0,8
GBM1a,14,1,r01,S100,r04,0,200,25,57,0.285,GBM1a_S100_0,8
GBM1a,14,1,r01,S100,r05,0,200,40,65,0.325,GBM1a_S100_0,8
GBM1a,14,1,r01,S100,r06,0,200,41,64,0.32,GBM1a_S100_0,8
GBM1a,14,1,r01,S100,r01,2,200,8,7,0.035,GBM1a_S100_2,8
GBM1a,14,1,r01,S100,r02,2,200,9,17,0.085,GBM1a_S100_2,8
GBM1a,14,1,r01,S100,r03,2,200,24,11,0.055,GBM1a_S100_2,8
GBM1a,14,1,r01,S100,r04,2,200,25,15,0.075,GBM1a_S100_2,8
GBM1a,14,1,r01,S100,r05,2,200,40,14,0.07,GBM1a_S100_2,8
GBM1a,14,1,r01,S100,r06,2,200,41,16,0.08,GBM1a_S100_2,8
GBM1a,14,1,r01,S100,r01,4,400,8,8,0.02,GBM1a_S100_4,8
GBM1a,14,1,r01,S100,r02,4,400,9,12,0.03,GBM1a_S100_4,8
GBM1a,14,1,r01,S100,r03,4,400,24,10,0.025,GBM1a_S100_4,8
GBM1a,14,1,r01,S100,r04,4,400,25,7,0.0175,GBM1a_S100_4,8
GBM1a,14,1,r01,S100,r05,4,400,40,7,0.0175,GBM1a_S100_4,8
GBM1a,14,1,r01,S100,r06,4,400,41,6,0.015,GBM1a_S100_4,8
GBM1a,14,1,r01,S100,r01,6,600,8,0,0,GBM1a_S100_6,8
GBM1a,14,1,r01,S100,r02,6,600,9,0,0,GBM1a_S100_6,8
GBM1a,14,1,r01,S100,r03,6,600,24,0,0,GBM1a_S100_6,8
GBM1a,14,1,r01,S100,r04,6,600,25,0,0,GBM1a_S100_6,8
GBM1a,14,1,r01,S100,r05,6,600,40,0,0,GBM1a_S100_6,8
GBM1a,14,1,r01,S100,r06,6,600,41,0,0,GBM1a_S100_6,8
GBM1a,14,1,r01,S100,r01,8,800,8,0,0,GBM1a_S100_8,8
GBM1a,14,1,r01,S100,r02,8,800,9,0,0,GBM1a_S100_8,8
GBM1a,14,1,r01,S100,r03,8,800,24,0,0,GBM1a_S100_8,8
GBM1a,14,1,r01,S100,r04,8,800,25,0,0,GBM1a_S100_8,8
GBM1a,14,1,r01,S100,r05,8,800,40,0,0,GBM1a_S100_8,8
GBM1a,14,1,r01,S100,r06,8,800,41,1,0.00125,GBM1a_S100_8,8
GBM1a,14,1,r01,S100,r01,10,1000,8,0,0,GBM1a_S100_10,8
GBM1a,14,1,r01,S100,r02,10,1000,9,0,0,GBM1a_S100_10,8
GBM1a,14,1,r01,S100,r03,10,1000,24,2,0.002,GBM1a_S100_10,8
GBM1a,14,1,r01,S100,r04,10,1000,25,0,0,GBM1a_S100_10,8
GBM1a,14,1,r01,S100,r05,10,1000,40,0,0,GBM1a_S100_10,8
GBM1a,14,1,r01,S100,r06,10,1000,41,0,0,GBM1a_S100_10,8
GBM1a,15,2,r02,CTRL,r01,0,200,1,81,0.405,GBM1a_CTRL_0,1
GBM1a,15,2,r02,FBS,r01,0,200,2,32,0.16,GBM1a_FBS_0,2
GBM1a,15,2,r02,B20,r01,0,200,3,37,0.185,GBM1a_B20_0,5
GBM1a,15,2,r02,B100,r01,0,200,4,30,0.15,GBM1a_B100_0,6
GBM1a,15,2,r02,E20,r01,0,200,5,41,0.205,GBM1a_E20_0,3
GBM1a,15,2,r02,E100,r01,0,200,6,46,0.23,GBM1a_E100_0,4
GBM1a,15,2,r02,S20,r01,0,200,7,22,0.11,GBM1a_S20_0,7
GBM1a,15,2,r02,S100,r01,0,200,8,27,0.135,GBM1a_S100_0,8
GBM1a,15,2,r02,S100,r02,0,200,9,26,0.13,GBM1a_S100_0,8
GBM1a,15,2,r02,S20,r02,0,200,10,27,0.135,GBM1a_S20_0,7
GBM1a,15,2,r02,E100,r02,0,200,11,43,0.215,GBM1a_E100_0,4
GBM1a,15,2,r02,E20,r02,0,200,12,28,0.14,GBM1a_E20_0,3
GBM1a,15,2,r02,B100,r02,0,200,13,22,0.11,GBM1a_B100_0,6
GBM1a,15,2,r02,B20,r02,0,200,14,47,0.235,GBM1a_B20_0,5
GBM1a,15,2,r02,FBS,r02,0,200,15,38,0.19,GBM1a_FBS_0,2
GBM1a,15,2,r02,CTRL,r02,0,200,16,70,0.35,GBM1a_CTRL_0,1
GBM1a,15,2,r02,CTRL,r03,0,200,17,72,0.36,GBM1a_CTRL_0,1
GBM1a,15,2,r02,FBS,r03,0,200,18,36,0.18,GBM1a_FBS_0,2
GBM1a,15,2,r02,B20,r03,0,200,19,49,0.245,GBM1a_B20_0,5
GBM1a,15,2,r02,B100,r03,0,200,20,26,0.13,GBM1a_B100_0,6
GBM1a,15,2,r02,E20,r03,0,200,21,35,0.175,GBM1a_E20_0,3
GBM1a,15,2,r02,E100,r03,0,200,22,52,0.26,GBM1a_E100_0,4
GBM1a,15,2,r02,S20,r03,0,200,23,33,0.165,GBM1a_S20_0,7
GBM1a,15,2,r02,S100,r03,0,200,24,20,0.1,GBM1a_S100_0,8
GBM1a,15,2,r02,S100,r04,0,200,25,21,0.105,GBM1a_S100_0,8
